Name,District,Borough,Party,Nodes
Inez Barron,42,Brooklyn,Democrat,X1
Fernando Cabrera,14,Bronx,Democrat,X2
Margaret Chin,1,Manhattan,Democrat,X3
Andrew Cohen,11,Bronx,Democrat,X4
Robert Cornegy,36,Brooklyn,Democrat,X5
Costa Constantinides,22,Queens,Democrat,X6
Robert Holden,30,Queens,Democrat,X7
Laurie Cumbo,35,Brooklyn,Democrat,X8
Chaim M. Deutsch,48,Brooklyn,Democrat,X9
Daniel Dromm,25,Queens,Democrat,X10
Rafael Espinal,37,Brooklyn,Democrat,X11
Mathieu Eugene,40,Brooklyn,Democrat,X12
Keith Powers,4,Manhattan,Democrat,X13
Justin Brannan,43,Brooklyn,Democrat,X14
Vanessa L Gibson,16,Bronx,Democrat,X15
Kalman Yeger,44,Brooklyn,Democrat,X16
Corey Johnson,3,Manhattan,Democrat,X17
Andy King,12,Bronx,Democrat,X18
Ben Kallos,5,Manhattan,Democrat,X19
Peter Koo,20,Queens,Democrat,X20
Karen Koslowitz,29,Queens,Democrat,X21
Rory Lancman,24,Queens,Democrat,X22
Brad Lander,39,Brooklyn,Democrat,X23
Stephen Levin,33,Brooklyn,Democrat,X24
Mark Levine,7,Manhattan,Democrat,X25
Alan Maisel,46,Brooklyn,Democrat,X26
Diana Ayala,8,Manhattan,Democrat,X27
Diana Ayala,8,Bronx,Democrat,X28
Steven Matteo,50,Staten Island,Republican,X29
Alicka Ampry-Samuel,41,Brooklyn,Democrat,X30
Carlos Menchaca,38,Brooklyn,Democrat,X31
Carlina Rivera,2,Manhattan,Democrat,X32
I. Daneek Miller,27,Queens,Democrat,X33
Ruben Diaz Sr.,18,Bronx,Democrat,X34
Donovan Richards,31,Queens,Democrat,X35
Ydanis Rodriguez,10,Manhattan,Democrat,X36
Deborah Rose,49,Staten Island,Democrat,X37
Helen Rosenthal,6,Manhattan,Democrat,X38
Ritchie Torres,15,Bronx,Democrat,X39
Mark Treyger,47,Brooklyn,Democrat,X40
Eric Ulrich,32,Queens,Republican,X41
Mark Gjonaj,13,Bronx,Democrat,X42
Paul Vallone,19,Queens,Democrat,X43
Jimmy Van Bramer,26,Queens,Democrat,X44
Farah Louis,45,Brooklyn,Democrat,X45
Francisco Moya,21,Queens,Democrat,X46
Adrienne Adams,28,Queens,,X47
Joseph Borelli,51,Staten Island,Republican,X48
Antonio Reynoso,34,Queens,Democrat,X49
Antonio Reynoso,34,Brooklyn,Democrat,X50
Bill Perkins,9,Manhattan,Democrat,X51
Barry Grodenchik,23,Queens,Democrat,X52
Rafael Salamanca,17,Bronx,Democrat,X53
